Spanish,Polish
necesitas,potrzebujesz
hijos,dzieci
probablemente,prawdopodobnie
padres,rodzice
habitación,pokój
creer,uważać
pensando,myślący
fueron,był
dime,Powiedz mi
trata,Przysmaki
buscando,badawczy
tuve,miałem
tampoco,żaden
amo,Miłość
joven,młody
podrías,mógłbyś
sola,sam
par,para
única,tylko
hacen,Do
seguir,Kontynuować
dr.,Dr.
simplemente,po prostu
dicen,Mówią
medio,połowa
puta,suka
saben,Oni wiedzą
sentido,sens
hagas,ty robisz
segura,bezpieczna
esperar,Czekać
lejos,daleko
arma,broń
alto,wysoki
pequeña,mały
dólares,Dolary
seis,sześć
estaban,był
seguridad,bezpieczeństwo
maldita,cholernie
estuvo,był
preocupes,martwić się
palabra,słowo
esperando,przy nadziei
queda,zostaje
oficina,biuro
matar,zabić
iré,pójdę
cama,łóżko
además,Oprócz
último,ostatni
oído,ucho
habría,byłoby
estará,będzie
dio,dał
recuerdo,pamięć
siendo,istnienie
acerca,o
tenga,Posiadać
luz,światło
correcto,prawidłowy
ud.,Ty.
demonios,Demony
nuestras,nasz
verte,by zobaczyć Ciebie
dormir,spać
sitio,miejsce
ayudar,pomoc
conseguir,Dostawać
di,dał
marido,mąż
paz,pokój
idiota,kretyn
plan,plan
dado,dany
cuanto,ile
peor,gorzej
murió,zmarł
pueblo,miasto
vivo,żywy
venido,przychodzę
john,Jan
basta,Wystarczająco
paso,przeszedł
deberíamos,powinniśmy
música,muzyka
diga,Mowić
minuto,minuta
anoche,Ostatnia noc
llamar,dzwonić
piensa,myśleć
país,kraj
digas,mówisz
rey,król
perdón,Przepraszam
mucha,bardzo
falta,brak
pienso,"Myślę, że"
diablos,Diabły
perdido,zaginiony
niña,mała dziewczynka
señorita,Chybić
diez,dziesięć
lleva,nosić
hospital,szpital
grandes,duży
maldito,cholernie
otras,inni
llamado,zwany
hacemos,robimy
llevar,nosić
fuego,ogień
aqui,Tutaj
tuvo,miał
poner,umieścić
calle,ulica
acaba,Tylko
prueba,dowód
increíble,niesamowity
real,prawdziwy
libro,książka
orden,zamówienie
semanas,tygodnie
especial,specjalny
mía,kopalnia
café,Kawa
duro,twardy
empezar,zaczynać
afuera,poza
queremos,chcemy
perro,pies
cielo,Kochanie
jack,Jacek
puesto,pozycja
viaje,podróż
detrás,za
cuarto,pokój
querida,Droga
haría,zrobiłaby
preguntas,pytania
piensas,Myślisz
querido,Kochanie
libre,bezpłatny
buscar,szukać
cual,Który
diré,ja powiem
suena,Dźwięki
jugar,grać
cambio,zmiana
película,film
millones,miliony
habrá,tam będzie
llamada,dzwonić
resto,odpoczynek
vemos,widzimy
extraño,dziwny
mala,zły
presidente,prezydent
srta.,SM.
irme,Iść
ropa,odzież
perder,stracić
vuelve,wraca
agente,agent
palabras,słowa
información,Informacja
raro,queer
hará,zrobi
entiendes,rozumiesz
éste,Ten
trabajando,pracujący
tratando,leczenie
general,ogólny
trato,umowa
usar,nosić 
perfecto,doskonały
derecho,Prawidłowy
modo,tryb
ayer,Wczoraj
conoces,"Wiesz, że"
demás,reszta
quieras,Chcesz
podríamos,moglibyśmy
noticias,Aktualności
asesino,zabójca
encontrado,znaleziony
control,kontrola
odio,nienawidzić
frente,czoło
sexo,seks
decirle,Powiedz mu
estaré,będę
divertido,zabawa
armas,bronie
recuerdas,Pamiętać
amiga,przyjaciel
grupo,grupa
asunto,romans
acabo,Tylko
mensaje,wiadomość
encima,
atención,uwaga
diferente,różny
uh,Uh
cállate,bądź cicho
daño,szkoda
sucede,dzieje się
cambiar,zmiana
siguiente,następny
sino,Ale
the,.
seas,Jesteś
médico,lekarz
boca,usta
dejó,pozwalać
error,błąd
jamás,nigdy
largo,długi
pena,smutek
voz,głos
futuro,przyszły
siente,Czuć
secreto,sekret
baño,łazienka
mil,tysiąc
decirte,Powiedz ci
sam,Sam
pensaba,myśl
novia,panna młoda
propia,własny
sueño,marzenie
haz,Belka
fuerza,siła
deben,Oni muszą
supone,Przypuszcza
estábamos,Byliśmy
ambos,Zarówno
ay,Oh
estuve,byłem
encontré,znalazłem
vuelto,obrócony
dile,Powiedz mu
encanta,kocha
edad,wiek
darle,daj mu
pie,stopa
negro,czarny
ganar,osiągać
york,York
aire,powietrze
lamento,lament
verlo,Zobacz go
asesinato,morderstwo
vio,piła
adónde,gdzie
llegado,przybył
disculpe,Przepraszam
s,S
cita,spotkanie
estaría,Byłoby
fuiste,ty byłeś
sistema,system
gusto,smak
pobre,słaby
negocio,biznes
mente,umysł
tuyo,twój
campo,pole
mire,Patrzeć
situación,sytuacja
tras,Po
hotel,hotel
vosotros,Ty
funciona,Pracuje
foto,zdjęcie
abogado,prawnik
loca,zwariowany
propio,własny
alrededor,wokół
próxima,Następny
terminado,skończone
hablas,mówić
pagar,płacić
mató,zabity
llamo,zwany
personal,personel
sientes,czujesz
ocurre,występuje
ésta,Ten
recuerda,Pamiętać
mitad,połowa
quiera,chcieć
pelo,włosy
tenías,Miałeś
viste,sukienki
oficial,urzędnik
llegó,przyjechać
compañía,firma
relación,relacja
conoce,znany
pase,dzieje się
montón,działka
mejores,szczyt
creí,wierzyłem
cena,kolacja
sentir,czuć
través,Poprzez
accidente,wypadek
i,Siema
ellas,Oni
caja,skrzynka
tranquilo,Nie martw się
bonito,ładny
eras,wieczność
asi,Więc
pudo,mógł
vive,zyje
vista,pogląd
estúpido,idiota
línea,linia
caballeros,Panowie
haremos,będzie
dan,dawać
quédate,zostawać
tienda,sklep
comprar,kupić
entendido,zrozumiany
centro,Centrum
salvo,z wyjątkiem
mes,miesiąc
joe,Joe
sol,słońce
tonto,głupi
hambre,głód
michael,Michael
mesa,tabela
respuesta,odpowiedź
completamente,całkowicie
david,David
carta,list
totalmente,całkowicie
pruebas,dowód
novio,chłopak
normal,normalna
gustan,tak jak
frank,Szczery
pude,mógł
charlie,Charlie
traje,garnitur
dirección,adres
siete,siedem
dijeron,Oni powiedzieli
placer,przyjemność
sean,Sean
tendrá,będzie miał
barco,statek
blanco,biały
tom,Tomek
profesor,nauczyciel
servicio,praca
muchacho,młody gość
reunión,spotkanie
dejado,lewy
ley,prawo
quisiera,chciałbym
hubo,był
george,Jerzy
programa,program
carrera,kariera
cumpleaños,urodziny
muchachos,chłopcy
culo,tyłek
canción,piosenka
hermosa,Piękny
universidad,Uniwersytet
boda,ślub
decirme,Powiedz mi
cualquiera,każdy
tengas,Mieć
hacía,w kierunku
estés,Być
sala,hala
llevo,wziął
decisión,decyzja
espere,Czekać
don,Przywdziewać
necesario,niezbędny
sal,sól
entra,wchodzi
prisa,spieszyć się
embargo,embargo
interesante,ciekawy
tendrás,będziesz miał
escuchar,słyszeć
abuela,babcia
hicieron,oni zrobili
detective,detektyw
horrible,okropny
suelo,podłoga
fotos,zdjęcia
cárcel,więzienie
acá,Tutaj
io,Io
mike,Mikrofon
siéntate,Usiądź
decía,Powiedział
intentando,próbować
vámonos,chodźmy
maldición,przekleństwo
silencio,cisza
muerta,martwy
capaz,zdolny
salió,wyszedł
club,Klub
terminar,skończyć
temo,Boję się
broma,żart
gobierno,rząd
prometo,obiecuję
cámara,kamera
media,połowa
terrible,straszny
llamó,zwany
regalo,prezent
amable,delikatny
dulce,słodki
muertos,martwy
querías,Chciałeś
ataque,udar
das,dajesz
navidad,Boże Narodzenie
negocios,biznes
pudiera,mógł
ocho,osiem
avión,samolot
investigación,dochodzenie
acabó,Tylko
juro,przysięgam
ejército,armia
papel,papier
partes,Imprezy
ten,Dziesięć
gracioso,śmieszny
diría,powiedziałbym
principio,zasada
delante,przed
teniente,porucznik
deseo,pragnienie
vayas,Iść
nave,statek
sale,wychodzi na jaw
basura,śmieci
vine,wszedł
contacto,kontakt
esposo,mąż
tren,pociąg
encontramos,znaleźliśmy
dale,Zacząć robić
verdadero,PRAWDA
tuya,twój
alma,dusza
hazlo,Zrób to
disculpa,Przepraszam
junto,razem
anda,chodzić
tendré,będę miał
matrimonio,małżeństwo
saberlo,wiedzieć
locura,szaleństwo
oro,złoto
permiso,pozwolenie
director,dyrektor
peligro,niebezpieczeństwo
libertad,wolność
alegro,zadowolony
baja,Niski
tendremos,będziemy mieli
derecha,Prawidłowy
encuentra,znaleziska
pies,stopy
segunda,drugi
maravilloso,cudowny
espacio,przestrzeń
rato,chwila
abuelo,Dziadek
esperaba,oczekiwałem
mirando,patrząc
salud,zdrowie
sorpresa,niespodzianka
ninguno,nic
miren,Patrzeć
triste,smutny
aun,Nadal
pensado,wymyślony
maestro,nauczyciel
según,według
infierno,piekło
podrían,mógł
tipos,Chłopaki
tía,ciotka
crimen,przestępczość
conocido,znajomy
consejo,rada
ante,ze względu na
iglesia,kościół
